date,forecast,lower_bound,upper_bound
2023-12-28,3.4637629345185097,2.134448247246869,4.736253979767761
2023-12-29,3.228451689601616,1.9729996871338968,4.535075570794096
2023-12-30,6.288297545868701,4.953700520180255,7.6289342734373795
2023-12-31,5.845766201420725,4.608243049765708,7.093184297157592
2024-01-01,3.2575335583914806,1.9104175834885415,4.55571951776688
2024-01-02,3.8327518993890197,2.612657864161803,5.135101419781672
2024-01-03,3.1515695719783676,1.7778798486536458,4.548304949573958
2024-01-04,3.501573695623013,2.1236791910228767,4.888252343077162
2024-01-05,3.2636388988494294,2.0808259181206545,4.577112832124884
2024-01-06,6.356727766529679,5.050093874463382,7.718190308878751
2024-01-07,5.909281986721487,4.572222511409483,7.122883668024598
2024-01-08,3.2928726632970045,1.9483740339645768,4.668630789387901
2024-01-09,3.8742668773826967,2.5985539321178326,5.1817784007546495
2024-01-10,3.1856534891231068,1.8502909112735193,4.587044621577037
2024-01-11,3.5393844557153806,2.2343100399131686,4.733622499340793
2024-01-12,3.2988261068107354,2.0431660243294445,4.5943597908184435
2024-01-13,6.425157983998803,5.053328939176394,7.765352460298174
2024-01-14,5.972797769110082,4.705055726520125,7.301771859372592
2024-01-15,3.328211766698634,2.1322981489056008,4.629716804378092
2024-01-16,3.915781854136339,2.599321442691002,5.163918674888821
2024-01-17,3.219737405677204,1.9664640626314813,4.496966394949706
2024-01-18,3.577195215494143,2.2975612520218665,4.829144852380205
2024-01-19,3.334013314446806,2.0426141204313604,4.660949657252821
2024-01-20,6.493588200774757,5.142542527043789,7.7263748501349685
2024-01-21,6.036313550173528,4.696130978841114,7.386641769878651
2024-01-22,3.3635508691908034,2.097348128298657,4.739629951139807
2024-01-23,3.9572968294338913,2.669670565104464,5.314347495539559
2024-01-24,3.253821320681372,2.07352817598222,4.583031559587424
2024-01-25,3.615005973364352,2.3404780731827763,5.017517912484832
2024-01-26,3.369200520218149,1.9576214485674817,4.633503921818163
2024-01-27,6.56201841374231,5.217421686728215,7.880481124795524
2024-01-28,6.099829328103816,4.812929713945243,7.339462056852491
2024-01-29,3.3988899701040696,2.1249713127352736,4.741643487403114
2024-01-30,3.9988118030481283,2.7193483101272076,5.286991884884018
2024-01-31,3.2879052345316127,2.003281829512562,4.568181850960674
2024-02-01,3.6528167299745866,2.354271807954054,4.9774362277924675
2024-02-02,3.40438772502032,2.1840597436021914,4.696643781774039
2024-02-03,6.630448625221923,5.293034629834236,7.982061694124817
2024-02-04,6.163345104753908,4.813386721790317,7.454111057961966
2024-02-05,3.434229070284258,2.2046580534678917,4.796926052782444
2024-02-06,4.040326775794093,2.692168643711826,5.281485713399221
2024-02-07,3.3219891477420203,1.9684914512340745,4.618734809005295
2024-02-08,3.690627486222424,2.341950884640706,4.933101297094669
2024-02-09,3.439574929704494,2.058837008127298,4.6996145323419185
2024-02-10,6.698878836840929,5.387994904291501,7.9967298466045325
2024-02-11,6.2268608818211675,4.904852581373056,7.656732117570802
2024-02-12,3.4695681706625825,2.29053277513702,4.778976924382865
2024-02-13,4.081841748746314,2.794302758401752,5.428536173068099
2024-02-14,3.3560730608392615,2.084186053173045,4.696975896245455
2024-02-15,3.7284382418269155,2.3281069557297855,4.959891101275169
2024-02-16,3.474762133317634,2.1523126157519172,4.743934120714703
2024-02-17,6.7673090456219125,5.536607607691331,8.038303274275982
2024-02-18,6.290376655388494,4.978623766832117,7.680576123654853
2024-02-19,3.504907269070829,2.298770883458489,4.8130144174446645
2024-02-20,4.1233567193352405,2.7646992142215594,5.506853454151054
2024-02-21,3.390156939362163,2.0713648684284602,4.730109721223756
2024-02-22,3.7662489230133214,2.3827428137327913,5.027984666388797
2024-02-23,3.5099492341192002,2.2953115984622605,4.882005914675299
2024-02-24,6.835738988611901,5.485569596358808,8.08455099499735
2024-02-25,6.353892121551213,5.041250361794609,7.667646180101838
2024-02-26,3.5402461624303814,2.2247890874861835,4.974399801317379
2024-02-27,4.164871408817139,2.800844032123002,5.435034237332096
2024-02-28,3.4242406195343147,2.144752591170988,4.76433214002239
2024-02-29,3.804059419782275,2.5089422236952625,5.154697544802664
2024-03-01,3.5451361964457746,2.205978244149655,4.846086705946109
2024-03-02,6.904168727716587,5.613972123504941,8.212441542872961
2024-03-03,6.41740745900908,5.0324859854717525,7.697535577004659
2024-03-04,3.575585017873316,2.2501259762100263,4.913149143828731
2024-03-05,4.206386093890031,2.9411330908745574,5.451298254806564
2024-03-06,3.4583242963341796,2.1279120653700634,4.7637596313898305
2024-03-07,3.841869913681042,2.4060057206297802,5.171820778028148
2024-03-08,3.580323156908277,2.3026601186980447,4.852358035671799
2024-03-09,6.972598464595624,5.63869904953056,8.317769054063886
2024-03-10,6.480922795623604,5.153315347476279,7.855472500364265
2024-03-11,3.6109238735344706,2.2973536162442882,4.959999197695679
2024-03-12,4.247900779746446,2.9113212127924997,5.4580671312320534
2024-03-13,3.492407974140917,2.173332219274224,4.777255550897185
2024-03-14,3.8796804087969345,2.565649646151192,5.278509108518403
2024-03-15,3.615510118599853,2.3223648422528744,4.892509495174337
2024-03-16,7.0410282034615985,5.823843534204852,8.333246334909571
2024-03-17,6.544438133756615,5.265145177696676,7.863830381218934
2024-03-18,3.6462627298508443,2.4752571163528043,4.939894531791937
2024-03-19,4.289415466142172,3.033447446065514,5.610553656394626
2024-03-20,3.5264916522413485,2.1513911994562758,4.811918460527996
2024-03-21,3.917490904077198,2.627975944151984,5.401493695375225
2024-03-22,3.6506970802948113,2.3610065854442945,5.025517009811668
2024-03-23,7.1094579423293425,5.786779804093045,8.419536797031368
2024-03-24,6.607953471879789,5.362361115866945,7.891989037931205
2024-03-25,3.6816015861600855,2.2959990313305783,4.995728680896092
2024-03-26,4.330930152535134,2.996896471785013,5.617258333598028
2024-03-27,3.560575330341068,2.200973625594345,4.759926645652071
2024-03-28,3.955301399354471,2.6277297972960403,5.273584751078593
2024-03-29,3.685884041979609,2.332179243987696,5.011903258833534
2024-03-30,7.177887681195168,5.802253783760063,8.508194626171223
2024-03-31,6.671468810002857,5.355277552259344,8.091892879574315
2024-04-01,3.7169404424736254,2.4008003198575807,4.95450962535607
2024-04-02,4.372444838930262,3.0540619625891168,5.705585825624238
2024-04-03,3.5946590084432213,2.229871511385344,4.940409902205387
2024-04-04,3.9931118946347306,2.63804082397025,5.305480717087455
2024-04-05,3.7210710036745698,2.392058357134986,4.962278952647964
2024-04-06,7.246317420070362,5.903931551899949,8.491169424057654
2024-04-07,6.734984148130875,5.353285503491136,8.027281166972536
2024-04-08,3.7522792987784346,2.3775184169008905,5.123769423165494
2024-04-09,4.413959525326028,2.9776844280392663,5.738433911242812
2024-04-10,3.6287426865422137,2.3251326074841043,4.954566863151526
2024-04-11,4.030922389915003,2.653252928715945,5.393277199225384
2024-04-12,3.7562579653695813,2.4660864553635022,5.033155682026342
2024-04-13,7.31474715894088,5.974166923057518,8.68190987573241
2024-04-14,6.798499486263292,5.423094243637857,8.094838789499436
2024-04-15,3.787618155091969,2.454144871394978,5.053664436339088
2024-04-16,4.455474211721818,3.140948383789244,5.747006074830666
2024-04-17,3.6628263646426595,2.391948775359228,5.090747528640958
2024-04-18,4.068732885193742,2.7403087141893905,5.401896858818537
2024-04-19,3.79144492705414,2.3641501786217947,5.051362536699633
2024-04-20,7.383176897811405,6.103025841147943,8.649198214606848
2024-04-21,6.862014824396483,5.469433541317146,8.11743867862687
2024-04-22,3.822957011405543,2.46968696311301,5.095884524276693
2024-04-23,4.496988898114736,3.1663392601559366,5.806658705409017
2024-04-24,3.6969100427423647,2.456845272603994,5.013064065496567
2024-04-25,4.106543380476953,2.719294598485316,5.353184594741
2024-04-26,3.826631888745594,2.4993992368179723,5.0959719044580245
2024-04-27,7.451606636681935,6.216008780289659,8.763909927606147
2024-04-28,6.925530162519358,5.544388659768935,8.337497283654379
2024-04-29,3.858295867717712,2.4855735820025266,5.254707416077641
2024-04-30,4.538503584506982,3.2732164212502584,5.857295705648478
2024-05-01,3.730993720842062,2.413805580696857,5.005038416051126
2024-05-02,4.144353875754128,2.8277981112827617,5.495633735647167
2024-05-03,3.8618188504442186,2.570817637618389,5.194303461236617
2024-05-04,7.520036375557372,6.118937983740247,8.745309459897413
2024-05-05,6.989045500647375,5.592177779882826,8.308627602895896
2024-05-06,3.8936347240313487,2.6390365874489845,5.224884561073307
2024-05-07,4.580018270899835,3.28957279162236,6.023042965471413
2024-05-08,3.765077398941749,2.3595273382980753,5.072374504586964
2024-05-09,4.182164371034433,2.8565976657522314,5.533770945007144
2024-05-10,3.8970058121357076,2.628428599918062,5.311350709760307
2024-05-11,7.5884661144200365,6.21886718932033,8.890515402555966
2024-05-12,7.05256083877538,5.634468126474313,8.316709207060727
2024-05-13,3.928973580335842,2.6293767464072872,5.259872194822181
